output_len,no_kv_s,kv_s
128,3859.252685546875,3443.73046875
256,6522.8759765625,6060.34326171875
384,9181.306640625,8668.71484375
512,11839.4296875,11273.8173828125
640,14499.8955078125,13868.7294921875
768,17145.591796875,16465.78515625
896,19802.32421875,19061.87109375
1024,22448.9765625,21655.18359375
1152,25107.94140625,24260.634765625
1280,27752.111328125,26856.69921875
1408,30423.4453125,29456.298828125
1536,33083.78125,32063.736328125
1664,35739.96484375,34654.97265625
1792,38386.15625,37230.4140625
1920,41038.55078125,39811.21484375
2048,43684.546875,42388.484375
