M,N,K,library,time_ms,tflops
128,512,512,cublas,0.004396,15.264226
256,512,512,cublas,0.004057,33.083330
384,512,512,cublas,0.004682,42.997917
512,512,512,cublas,0.004626,58.024540
640,512,512,cublas,0.004383,76.555140
768,512,512,cublas,0.004694,85.784765
896,512,512,cublas,0.004595,102.243103
1024,512,512,cublas,0.005018,106.990739
1152,512,512,cublas,0.005155,117.166608
1280,512,512,cublas,0.005379,124.756228
1408,512,512,cublas,0.005997,123.085504
1536,512,512,cublas,0.006173,130.460536
1664,512,512,cublas,0.006380,136.738803
1792,512,512,cublas,0.006615,142.035374
1920,512,512,cublas,0.006839,147.182361
2048,512,512,cublas,0.007089,151.473605
128,4096,4096,cublas,0.005011,857.183142
256,4096,4096,cublas,0.006558,1309.888562
384,4096,4096,cublas,0.008417,1530.826247
512,4096,4096,cublas,0.010173,1688.697523
640,4096,4096,cublas,0.011888,1806.479222
768,4096,4096,cublas,0.013506,1908.083324
896,4096,4096,cublas,0.015500,1939.602896
1024,4096,4096,cublas,0.017439,1970.312992
1152,4096,4096,cublas,0.018684,2068.883238
1280,4096,4096,cublas,0.020576,2087.334565
1408,4096,4096,cublas,0.022316,2117.089648
1536,4096,4096,cublas,0.024011,2146.481930
1664,4096,4096,cublas,0.025559,2184.506925
1792,4096,4096,cublas,0.027302,2202.405614
1920,4096,4096,cublas,0.029037,2218.670413
2048,4096,4096,cublas,0.030751,2234.727418
128,14336,4096,cublas,0.008960,1677.661917
256,14336,4096,cublas,0.015179,1980.739800
384,14336,4096,cublas,0.021361,2111.195048
512,14336,4096,cublas,0.027240,2207.372742
640,14336,4096,cublas,0.033490,2244.314923
768,14336,4096,cublas,0.039393,2289.603831
896,14336,4096,cublas,0.045203,2327.858469
1024,14336,4096,cublas,0.051347,2342.107533
1152,14336,4096,cublas,0.057291,2361.483765
1280,14336,4096,cublas,0.063351,2372.871057
1408,14336,4096,cublas,0.069455,2380.777262
1536,14336,4096,cublas,0.075469,2390.230436
1664,14336,4096,cublas,0.081265,2404.729503
1792,14336,4096,cublas,0.087349,2409.345338
1920,14336,4096,cublas,0.094423,2388.030561
2048,14336,4096,cublas,0.099782,2410.426598
128,4096,1024,cublas,0.004311,249.086388
256,4096,1024,cublas,0.006491,330.830060
384,4096,1024,cublas,0.008488,379.503414
512,4096,1024,cublas,0.009959,431.263175
640,4096,1024,cublas,0.011736,457.444128
768,4096,1024,cublas,0.013529,476.185918
896,4096,1024,cublas,0.015155,495.958687
1024,4096,1024,cublas,0.017028,504.473572
1152,4096,1024,cublas,0.018711,516.460341
1280,4096,1024,cublas,0.020481,524.263267
1408,4096,1024,cublas,0.022231,531.283762
1536,4096,1024,cublas,0.024197,532.497493
1664,4096,1024,cublas,0.025771,541.637307
1792,4096,1024,cublas,0.027409,548.454399
1920,4096,1024,cublas,0.029147,552.591030
2048,4096,1024,cublas,0.030778,558.193993
128,1024,4096,cublas,0.003696,290.489367
256,1024,4096,cublas,0.004122,521.031588
384,1024,4096,cublas,0.004020,801.395323
512,1024,4096,cublas,0.004473,960.207100
640,1024,4096,cublas,0.005050,1063.060177
768,1024,4096,cublas,0.005579,1154.792943
896,1024,4096,cublas,0.006025,1247.510128
1024,1024,4096,cublas,0.006522,1317.022791
1152,1024,4096,cublas,0.007090,1362.954899
1280,1024,4096,cublas,0.007548,1422.581853
1408,1024,4096,cublas,0.007922,1491.006916
1536,1024,4096,cublas,0.008344,1544.270719
1664,1024,4096,cublas,0.008839,1579.146177
1792,1024,4096,cublas,0.009120,1648.287961
1920,1024,4096,cublas,0.009468,1701.083207
2048,1024,4096,cublas,0.010055,1708.582402
