model,batch,log2_batch,sdpa_gbps,flashinfer_gbps
llama3_1b,1,0,33.79956341619442,76.14621322642965
llama3_1b,2,1,65.18206153361632,152.77881812883186
llama3_1b,4,2,104.22391532273228,302.73465076378943
llama3_1b,8,3,95.44969365169673,396.1315444647102
llama3_1b,16,4,118.05788804789266,466.4857403607126
llama3_1b,32,5,135.76048717385646,498.44841563720865
llama3_1b,64,6,134.72454852908876,570.8524233565148
llama3_3b,1,0,80.2547122430754,157.70526249164507
llama3_3b,2,1,143.83759119074386,312.6717644922594
llama3_3b,4,2,182.1253975220151,441.8554402886045
llama3_3b,8,3,174.53867634188583,499.64071788557527
llama3_3b,16,4,196.89977954683758,543.686740742357
llama3_3b,32,5,194.0772431219364,565.1604088122584
llama3_3b,64,6,200.64293615815038,590.8502322649953
llama3_8b,1,0,67.59285175658101,151.7001938866641
llama3_8b,2,1,115.77162461971542,308.1509377890264
llama3_8b,4,2,137.9306006324575,407.968143117941
llama3_8b,8,3,143.09170171597606,463.9224115486767
llama3_8b,16,4,144.02250339619187,513.2831933747722
llama3_8b,32,5,141.62510386629546,541.9599737099205
llama3_8b,64,6,148.02634090795763,584.9184613740284
