model,c,log2_c,sdpa_gbps,flashinfer_gbps
llama3_1b,128,7,15.572367727993623,3.9668779754914123
llama3_1b,256,8,30.263400348858035,8.025392729341146
llama3_1b,512,9,35.30045410210135,13.199278276330542
llama3_1b,1024,10,32.85177270417052,29.550804378122393
llama3_1b,2048,11,34.15610394578821,57.85668140063518
llama3_1b,4096,12,34.877013524366625,120.38317771286971
llama3_1b,8192,13,35.463586837810396,145.55792431246698
llama3_1b,16384,14,35.67322657031915,156.3647851279392
llama3_1b,32768,15,35.77143572160585,162.29615676594932
llama3_3b,128,7,31.93388572831797,7.7952972187141585
llama3_3b,256,8,60.21758213087478,15.789220058487707
llama3_3b,512,9,67.15579599854635,24.933610350320894
llama3_3b,1024,10,63.80062314625282,58.38448352652357
llama3_3b,2048,11,66.4240885678979,91.14374262970334
llama3_3b,4096,12,67.83545358432082,123.43740087321635
llama3_3b,8192,13,68.5924788331978,146.24899279816123
llama3_3b,16384,14,71.04529430628389,166.29967792933
llama3_3b,32768,15,86.56309209825888,169.26316597877133
llama3_8b,128,7,35.09252792474735,8.65897844489227
llama3_8b,256,8,65.86002976554347,17.37120623505166
llama3_8b,512,9,63.87400008008129,33.61613630170309
llama3_8b,1024,10,69.03031268382482,66.75358369614843
llama3_8b,2048,11,72.32077445067912,104.85759999999999
llama3_8b,4096,12,75.43278219681676,142.72398934656843
llama3_8b,8192,13,79.37059514962002,157.45992090762263
llama3_8b,16384,14,77.98516189470377,162.49661740908573
llama3_8b,32768,15,79.52225154990809,166.55814475972736
