model,page_size,flashinfer_gbps
llama3_1b,1,32.94624904856539
llama3_1b,2,16.6904934835052
llama3_1b,4,8.085238824737113
llama3_1b,8,4.066046044742379
llama3_1b,16,2.0691644792332227
llama3_3b,1,65.20243207990964
llama3_3b,2,32.23672346346873
llama3_3b,4,16.210710585201937
llama3_3b,8,7.975544734288414
llama3_3b,16,4.087599843174635
llama3_8b,1,65.17589393400826
llama3_8b,2,32.29453324322093
llama3_8b,4,16.492762652920195
llama3_8b,8,8.02338986991154
llama3_8b,16,4.147533184162031
