model,batch,log2_batch,sdpa_tflops,flashinfer_tflops
llama3_1b,1,0,42.443876576582866,69.85995088071455
llama3_1b,2,1,52.05142485378879,91.75900011634901
llama3_1b,4,2,57.90157217091631,103.76622936980134
llama3_1b,8,3,57.948382204977506,109.06213728049936
llama3_1b,16,4,59.036653857481795,110.82322603545038
llama3_1b,32,5,59.956453518374765,110.97455489636505
llama3_1b,64,6,60.30549951453367,113.2696439446943
llama3_3b,1,0,46.693306711928344,68.80420114750824
llama3_3b,2,1,51.100520930161665,81.36265219885065
llama3_3b,4,2,52.16208067259967,89.39376207455031
llama3_3b,8,3,54.66790536348037,97.14283842291555
llama3_3b,16,4,53.81742068518745,97.04544534051018
llama3_3b,32,5,54.55218486998204,98.97589725657735
llama3_3b,64,6,56.170778346715636,100.92110559153146
llama3_8b,1,0,48.90755235327702,75.71628997160043
llama3_8b,2,1,51.1780826896166,88.68255856115306
llama3_8b,4,2,53.78600269647202,97.05632067316388
llama3_8b,8,3,53.21011875359689,97.50793816075532
llama3_8b,16,4,54.49138499033607,99.38264577894589
llama3_8b,32,5,54.4312950164166,101.20035839820231
llama3_8b,64,6,54.264136300524434,102.2147003064897
