model,p,log2_p,sdpa_tflops,flashinfer_tflops
llama3_1b,128,7,0.5672002686343233,6.359342155356973
llama3_1b,256,8,1.674932843269212,5.1032579531561035
llama3_1b,512,9,2.290264112373324,52.310283980371985
llama3_1b,1024,10,2.2998249890899225,68.21046256012083
llama3_1b,2048,11,2.3501834273388496,116.73137358895744
llama3_1b,4096,12,2.5924333746815416,135.9663828365069
llama3_1b,8192,13,2.352618208611628,135.47317793993602
llama3_1b,16384,14,nan,140.9535437090445
llama3_1b,32768,15,nan,140.77506044909825
llama3_3b,128,7,0.8087951579196494,9.637647233542825
llama3_3b,256,8,2.8836246615434145,12.893649505968124
llama3_3b,512,9,3.6405134857856156,51.12407234635585
llama3_3b,1024,10,3.9772732679429446,84.72717632565099
llama3_3b,2048,11,3.8975781870010007,108.33620350856229
llama3_3b,4096,12,4.395760486705055,119.93743277708191
llama3_3b,8192,13,3.6015723791437324,124.71143558269311
llama3_3b,16384,14,nan,128.1354654355719
llama3_3b,32768,15,nan,127.49476634366903
llama3_8b,128,7,1.1165829156776268,13.180309218609464
llama3_8b,256,8,2.83861632089206,12.46542554638963
llama3_8b,512,9,3.6032380078839004,59.05651004852936
llama3_8b,1024,10,3.9999158267670167,89.90478650166429
llama3_8b,2048,11,4.138205591512778,114.2901640211051
llama3_8b,4096,12,4.378042618716839,124.57295521417795
llama3_8b,8192,13,3.574644868948724,125.05257388158365
llama3_8b,16384,14,nan,127.65112847813184
llama3_8b,32768,15,nan,126.09819036742495
