model,batch,log2_batch,sdpa_gbps,flashinfer_gbps
llama3_1b,1,0,11.824480141687932,74.7232172456915
llama3_1b,2,1,15.921964054153294,154.4749621904181
llama3_1b,4,2,17.319238312459305,303.0391192186042
llama3_1b,8,3,18.0460403500107,391.99102519870735
llama3_1b,16,4,18.458049452628934,459.29741271925707
llama3_1b,32,5,18.591419043761025,501.6750158169221
llama3_1b,64,6,18.64274380774439,572.4019699102429
llama3_3b,1,0,19.789082963003622,151.29220767298455
llama3_3b,2,1,21.75839010940735,299.02924958409034
llama3_3b,4,2,22.881532604786898,432.33116517871264
llama3_3b,8,3,23.392268644992697,491.68902107656635
llama3_3b,16,4,23.73434015827718,538.9820160478804
llama3_3b,32,5,23.881253169375437,564.478900972486
llama3_3b,64,6,23.903482211396565,590.9468276102222
llama3_8b,1,0,15.69170132958468,147.20575331783988
llama3_8b,2,1,17.79316338346491,283.50618512459965
llama3_8b,4,2,18.471414281360175,428.3748732234841
llama3_8b,8,3,18.858195144897948,480.46919933256805
llama3_8b,16,4,19.062454063911424,528.8960304856392
llama3_8b,32,5,19.08666835964232,556.7389183740393
llama3_8b,64,6,19.10267671843113,585.7557685125809
