model,page_size,flashinfer_gbps
llama3_1b,1,580.9989171831742
llama3_1b,2,585.0938846550757
llama3_1b,4,586.1691693226885
llama3_1b,8,586.5482561363162
llama3_1b,16,508.59774041584046
llama3_3b,1,592.3374117281575
llama3_3b,2,587.1877116254749
llama3_3b,4,587.5259892957566
llama3_3b,8,584.7512944057719
llama3_3b,16,585.9562359210323
llama3_8b,1,592.803040287772
llama3_8b,2,589.4415800169622
llama3_8b,4,589.8830088021009
llama3_8b,8,586.6518619477239
llama3_8b,16,587.3059419480572
