model,batch,log2_batch,sdpa_tflops,flashinfer_tflops
llama3_1b,1,0,2.3541879192504984,83.99764019824379
llama3_1b,2,1,2.381233171459851,103.7091045816285
llama3_1b,4,2,2.3845329317021,116.89148785142498
llama3_1b,8,3,2.4032399810938787,123.65738456744802
llama3_1b,16,4,2.409509950368722,125.78815568423627
llama3_1b,32,5,2.4089353919850507,119.86936703571828
llama3_1b,64,6,2.4066874812537944,112.71670892187068
llama3_3b,1,0,3.951417484164406,80.93612508781058
llama3_3b,2,1,3.9971131609347594,93.76838933936227
llama3_3b,4,2,4.058512809156127,104.33051343918397
llama3_3b,8,3,4.092705377021744,109.33548335290888
llama3_3b,16,4,4.104191228726293,104.93120418512886
llama3_3b,32,5,4.09409736433642,102.05079092418381
llama3_3b,64,6,4.063181619948401,102.95007783843137
llama3_8b,1,0,3.9665291945155703,86.85755721288096
llama3_8b,2,1,4.035742822697924,99.52744162761383
llama3_8b,4,2,4.078648872163741,108.58078925006448
llama3_8b,8,3,4.103438463561658,108.0815787245992
llama3_8b,16,4,4.10920210738553,112.668841268644
llama3_8b,32,5,4.0940594020200995,104.46178643727016
llama3_8b,64,6,nan,104.78392398349828
