-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_0(0)_generation_100(100)         0.00%       0.000us         0.00%       0.000us       0.000us        6.466s        80.18%        6.466s      12.829ms           504  
void flashinfer::BatchPrefillWithPagedKVCacheKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us        3.016s        37.41%        3.016s     363.937us          8288  
         turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us        2.169s        26.89%        2.169s     252.395us          8592  
                                               aten::mm         0.43%      28.504ms         0.57%      38.069ms      39.368us        1.602s        19.87%        1.602s       1.657ms           967  
## Call CompiledFxGraph fytywnlx3cq7fp2ttfxzf4bjcfra...         0.00%       0.000us         0.00%       0.000us       0.000us        1.156s        14.34%        1.156s      11.010ms           105  
         turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us     896.081ms        11.11%     896.081ms      55.232us         16224  
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     492.256ms         6.10%     492.256ms     965.207us           510  
                                             aten::div_         0.12%       7.762ms         0.25%      16.467ms      15.865us     233.910ms         2.90%     234.095ms     225.525us          1038  
                                            aten::copy_         0.81%      53.570ms         1.93%     128.537ms      15.267us     226.052ms         2.80%     227.963ms      27.077us          8419  
             execute_context_17(8115)_generation_77(77)         0.00%       0.000us         0.00%       0.000us       0.000us     212.884ms         2.64%     212.884ms     212.884ms             1  
             execute_context_17(8131)_generation_61(61)         0.00%       0.000us         0.00%       0.000us       0.000us     210.762ms         2.61%     210.762ms     210.762ms             1  
             execute_context_17(8147)_generation_45(45)         0.00%       0.000us         0.00%       0.000us       0.000us     209.962ms         2.60%     209.962ms     209.962ms             1  
             execute_context_17(8163)_generation_29(29)         0.00%       0.000us         0.00%       0.000us       0.000us     208.789ms         2.59%     208.789ms     208.789ms             1  
             execute_context_16(8178)_generation_14(14)         0.00%       0.000us         0.00%       0.000us       0.000us     207.472ms         2.57%     207.472ms     207.472ms             1  
                                         aten::_softmax         0.08%       5.345ms         0.14%       9.405ms      18.121us     190.172ms         2.36%     190.172ms     366.420us           519  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     190.172ms         2.36%     190.172ms     366.420us           519  
turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     186.725ms         2.32%     186.725ms      23.018us          8112  
