Name	Start	Duration	GPU	Context
triton_red_fused__to_copy_add_embedding_mean_mul_pow_rsqrt_0	53.8173s	186.815 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	53.8175s	1.217 ms	GPU 0	Stream 7
triton_poi_fused_1	53.8187s	151.359 μs	GPU 0	Stream 7
void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)	53.8189s	226.271 μs	GPU 0	Stream 7
void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)128, (unsigned int)2, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __half, __half, __half, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)	53.8191s	402.431 μs	GPU 0	Stream 7
void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, (unsigned int)64, (unsigned int)1, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __half, __half, __half, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)	53.8195s	10.368 μs	GPU 0	Stream 7
void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)8, (unsigned int)16, (unsigned int)4, __half, __half, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)	53.8195s	3.776 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	53.8195s	875.420 μs	GPU 0	Stream 7
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0	53.8204s	174.400 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.0424s	6.244 ms	GPU 0	Stream 7
triton_poi_fused_mul_silu_slice_1	54.0486s	696.318 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.0493s	3.261 ms	GPU 0	Stream 7
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2	54.0526s	294.495 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.0529s	1.211 ms	GPU 0	Stream 7
triton_poi_fused_3	54.0541s	152.383 μs	GPU 0	Stream 7
void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)	54.0543s	226.367 μs	GPU 0	Stream 7
