Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.5,1463425200,1410,1037890.2,254799.0,43136,6244456,1659662.2,turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn
14.7,495832350,543,913135.1,964252.0,84608,978236,204855.4,turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_stages_32x1_tn
5.6,189933284,521,364555.2,366911.0,46304,932252,48422.5,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
4.4,149156802,1280,116528.8,111536.0,53056,292990,55366.6,turing_fp16_s1688gemm_fp16_256x64_sliced1x2_ldg8_f2f_tn
4.2,140214377,521,269125.5,271135.0,2624,685501,36686.3,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
3.0,100687300,1536,65551.6,13344.0,1440,699998,178199.4,triton_poi_fused_mul_silu_slice_1
2.8,95884792,521,184039.9,185439.0,2944,460798,24650.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.4,80115228,352,227600.1,227871.0,223167,232703,2001.4,turing_fp16_s1688gemm_fp16_128x256_ldg8_f2f_stages_32x1_tn
2.3,76586847,521,146999.7,148032.0,3552,378815,20179.3,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
1.9,63117269,1126,56054.4,48143.5,22208,946461,66974.4,turing_fp16_s1688gemm_fp16_128x64_sliced1x2_ldg8_f2f_tn
