Time	Total Time	Instances	Avg	Med	Min	Max	StdDev	Style	Range
27.4%	8.365 s	504	16.596 ms	16.420 ms	15.961 ms	73.867 ms	2.576 ms	PushPop	:{'Module': 'LlamaForCausalLM', 'input_ids': [[100]], 'positions': [[100]]}
1.9%	589.891 ms	504	1.170 ms	1.057 ms	983.588 μs	57.596 ms	2.519 ms	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0', 'Inputs': [[100], [100, 2048]]}
1.6%	499.684 ms	504	991.436 μs	990.232 μs	934.335 μs	1.326 ms	40.017 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	499.390 ms	504	990.853 μs	987.694 μs	925.790 μs	1.850 ms	55.938 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	497.430 ms	504	986.963 μs	980.974 μs	919.790 μs	3.114 ms	123.352 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	496.791 ms	504	985.696 μs	984.954 μs	927.333 μs	1.464 ms	43.344 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	496.288 ms	504	984.699 μs	975.630 μs	923.250 μs	3.388 ms	127.313 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	496.285 ms	504	984.692 μs	982.826 μs	921.723 μs	1.353 ms	36.193 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	495.786 ms	504	983.703 μs	983.783 μs	921.279 μs	1.295 ms	39.113 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	495.590 ms	504	983.313 μs	979.832 μs	928.345 μs	1.472 ms	43.241 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	494.876 ms	504	981.896 μs	978.866 μs	923.612 μs	1.865 ms	54.571 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	493.972 ms	504	980.102 μs	978.047 μs	925.366 μs	1.749 ms	49.532 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	493.967 ms	504	980.093 μs	979.134 μs	925.914 μs	1.400 ms	45.486 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	493.853 ms	504	979.867 μs	980.542 μs	929.818 μs	1.182 ms	31.993 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	493.634 ms	504	979.433 μs	978.826 μs	926.470 μs	1.370 ms	38.258 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	493.509 ms	504	979.184 μs	978.133 μs	925.613 μs	1.119 ms	30.774 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	492.689 ms	504	977.557 μs	977.625 μs	925.327 μs	1.413 ms	38.389 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12', 'Inputs': [[100], [100, 2048], [100, 2048]]}
1.6%	479.534 ms	6	79.922 ms	17.665 ms	17.546 ms	391.044 ms	152.418 ms	PushPop	:{'Module': 'LlamaForCausalLM', 'input_ids': [[8192]], 'positions': [[8192]]}
1.2%	380.386 ms	6	63.398 ms	1.155 ms	1.149 ms	374.540 ms	152.428 ms	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0', 'Inputs': [[8192], [8192, 2048]]}
1.2%	374.324 ms	6	62.387 ms	307.438 μs	286.531 μs	372.815 ms	152.078 ms	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.mlp', 'Inputs': [[8192, 2048]]}
1.2%	370.415 ms	6	61.736 ms	63.666 μs	60.768 μs	370.083 ms	151.059 ms	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Inputs': [[8192, 2048]]}
1.1%	344.329 ms	504	683.192 μs	570.083 μs	519.978 μs	56.886 ms	2.509 ms	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	273.701 ms	8064	33.941 μs	32.779 μs	30.447 μs	703.871 μs	8.387 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.rotary_emb', 'Inputs': [[100], [100, 2048], [100, 512]]}
0.9%	267.258 ms	504	530.273 μs	528.360 μs	487.518 μs	815.127 μs	25.149 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	265.900 ms	504	527.580 μs	527.179 μs	486.836 μs	872.736 μs	26.063 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	265.685 ms	504	527.153 μs	526.051 μs	487.096 μs	882.363 μs	27.060 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	265.036 ms	504	525.865 μs	523.230 μs	486.656 μs	915.526 μs	36.278 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	264.864 ms	504	525.523 μs	525.226 μs	483.648 μs	822.431 μs	24.928 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
0.9%	264.757 ms	504	525.310 μs	522.650 μs	485.751 μs	2.105 ms	73.231 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'positions': [[100]], 'hidden_states': [[100, 2048]]}
